Delegacia;E-mail;Nome Antigo
19ª DELEGACIA DE POLÍCIA CIVIL DA CAPITAL;19dpfortaleza@pc.ce.gov.br;19º DISTRITO POLICIAL
20ª DELEGACIA DE POLÍCIA CIVIL DA CAPITAL;20dpfortaleza@pc.ce.gov.br;30º DISTRITO POLICIAL
21ª DELEGACIA DE POLÍCIA CIVIL DA CAPITAL;21dpfortaleza@pc.ce.gov.br;27º DISTRITO POLICIAL
22ª DELEGACIA DE POLÍCIA CIVIL DA CAPITAL;22dpcapital@pc.ce.gov.br;32º DISTRITO POLICIAL
23º DELEGACIA DE POLÍCIA CIVIL DA CAPITAL;23dpfortaleza@pc.ce.gov.br;33º DISTRITO POLICIAL
24ª DELEGACIA DE POLÍCIA CIVIL DA CAPITAL;24dpfortaleza@pc.ce.gov.br;34º DISTRITO POLICIAL
25ª DELEGACIA DE POLÍCIA CIVIL DA CAPITAL;25dpfortaleza@pc.ce.gov.br;25º DISTRITO POLICIAL
1ª DELEGACIA DE POLÍCIA CIVIL DE DEFESA DA MULHER DE FORTALEZA;ddmfortaleza@pc.ce.gov.br;DELEGACIA DE DEFESA DA MULHER DE FORTALEZA
2ª DELEGACIA DE POLÍCIA CIVIL DE DEFESA DA MULHER DE FORTALEZA;2ddmfortaleza@pc.ce.gov.br;
DELEGACIA DE POLÍCIA CIVIL DA CRIANÇA E DO ADOLESCENTE;dca@pc.ce.gov.br;DELEGACIA DA CRIANÇA E DO ADOLESCENTE
DELEGACIA DE POLÍCIA CIVIL DE COMBATE À EXPLORAÇÃO DA CRIANÇA E DO ADOLESCENTE;dpca@pcce.gov.br;DELEGACIA DE COMBATE À EXPLORAÇÃO DA CRIANÇA E DO ADOLES
DELEGACIA DE POLÍCIA CIVIL DE DEFESA DA MULHER DE CAUCAIA;ddmcaucaia@pc.ce.gov.br;DELEGACIA DE DEFESA DA MULHER DE CAUCAIA
DELEGACIA DE POLÍCIA CIVIL DE DEFESA DA MULHER DE CRATO;ddmcrato@pc.ce.gov.br;DELEGACIA DE DEFESA DA MULHER DE CRATO
DELEGACIA DE POLÍCIA CIVIL DE DEFESA DA MULHER DE ICÓ;deamico@pc.ce.gov.br;DELEGACIA DE DEFESA DA MULHER DE ICÓ
DELEGACIA DE POLÍCIA CIVIL DE DEFESA DA MULHER DE IGUATU;ddmiguatu@pc.ce.gov.br;DELEGACIA DE DEFESA DA MULHER DE IGUATU
DELEGACIA DE POLÍCIA CIVIL DE DEFESA DA MULHER DE JUAZEIRO DO NORTE;ddmjuazeiro@pc.ce.gov.br;DELEGACIA DE DEFESA DA MULHER DE JUAZEIRO DO NORTE
DELEGACIA DE POLÍCIA CIVIL DE DEFESA DA MULHER DE MARACANAÚ;ddmmaracanau@pc.ce.gov.br;DELEGACIA DE DEFESA DA MULHER DE MARACANAÚ
DELEGACIA DE POLÍCIA CIVIL DE DEFESA DA MULHER DE PACATUBA;ddmpacatuba@pc.ce.gov.br;DELEGACIA DE DEFESA DA MULHER DE PACATUBA
DELEGACIA DE POLÍCIA CIVIL DE DEFESA DA MULHER DE ?UIXADÁ;deamquixada@pc.ce.gov.br;DELEGACIA DE DEFESA DA MULHER DE ?UIXADÁ
DELEGACIA DE POLÍCIA CIVIL DE DEFESA DA MULHER DE SOBRAL;ddmsobral@pc.ce.gov.br;DELEGACIA DE DEFESA DA MULHER DE SOBRAL
DELEGACIA DE POLÍCIA CIVIL DE PROTEÇÃO AO IDOSO E PESSOA COM DEFICIÊNCIA;dpipd@pc.ce.gov.br;DELEGACIA DE PROTEÇÃO AO IDOSO E PESSOA COM DEFICIÊNCIA
DELEGACIA DE POLÍCIA CIVIL DE REPRESSÃO AOS CRIMES DE INTOLERÂNCIA RACIAL, RELIGIOSA, POR IDENTIDADE D;decrin@pc.ce.gov.br;DELEGACIA DE REPRESSÃO AOS CRIMES POR DISCRIMINAÇÃO RACI
1ª DELEGACIA DE POLÍCIA CIVIL DE HOMICÍDIOS E PROTEÇÃO À PESSOA;1dh@pc.ce.gov.br;1ª DELEGACIA DE HOMICÍDIOS
2ª DELEGACIA DE POLÍCIA CIVIL DE HOMICÍDIOS E PROTEÇÃO À PESSOA;2dh@pc.ce.gov.br;2ª DELEGACIA DE HOMICÍDIOS
3ª DELEGACIA DE POLÍCIA CIVIL DE HOMICÍDIOS E PROTEÇÃO À PESSOA;3dh@pc.ce.gov.br;3ª DELEGACIA DE HOMICÍDIOS
4ª DELEGACIA DE POLÍCIA CIVIL DE HOMICÍDIOS E PROTEÇÃO À PESSOA;4dh@pc.ce.gov.br;4ª DELEGACIA DE HOMICÍDIOS
5ª DELEGACIA DE POLÍCIA CIVIL DE HOMICÍDIOS E PROTEÇÃO À PESSOA;5dh@pc.ce.gov.br;5ª DELEGACIA DE HOMICÍDIOS
6ª DELEGACIA DE POLÍCIA CIVIL DE HOMICÍDIOS E PROTEÇÃO À PESSOA;6dh@pc.ce.gov.br;6ª DELEGACIA DE HOMICÍDIOS
7ª DELEGACIA DE POLÍCIA CIVIL DE HOMICÍDIOS E PROTEÇÃO À PESSOA;7dh@pc.ce.gov.br;7ª DELEGACIA DE HOMICÍDIOS
8ª DELEGACIA DE POLÍCIA CIVIL DE HOMICÍDIOS E PROTEÇÃO À PESSOA;8dh@pc.ce.gov.br;8ª DELEGACIA DE HOMICÍDIOS
9ª DELEGACIA DE POLÍCIA CIVIL DE HOMICÍDIOS E PROTEÇÃO À PESSOA;9dh@pc.ce.gov.br;9ª DELEGACIA DE HOMICÍDIOS
10ª DELEGACIA DE POLÍCIA CIVIL DE HOMICÍDIOS E PROTEÇÃO À PESSOA;10dh@pc.ce.gov.br;10ª DELEGACIA DE HOMICÍDIOS
DELEGACIA DE POLÍCIA CIVIL DE HOMICÍDIOS CONTRA AGENTES DE SEGURANÇA PÚBLICA;11dh@pc.ce.gov.br;11ª DELEGACIA DE HOMICÍDIOS
DELEGACIA DE POLÍCIA CIVIL DE PESSOAS DESAPARECIDAS;desaparecidos@pc.ce.gov.br;12ª DELEGACIA DE HOMICÍDIOS
1ª DELEGACIA DE POLÍCIA CIVIL DE CAUCAIA;1dpcaucaia@pc.ce.gov.br;DELEGACIA METROPOLITANA DE CAUCAIA
1ª DELEGACIA DE POLÍCIA CIVIL DE MARACANAÚ;1dpmaracanau@pc.ce.gov.br;DELEGACIA METROPOLITANA DE MARACANAÚ
1ª DELEGACIA DE POLÍCIA CIVIL DE PACATUBA;2dpcaucaia@pc.ce.gov.br;DELEGACIA METROPOLITANA DE PACATUBA
2º DELEGACIA DE POLÍCIA CIVIL DE CAUCAIA;2dpcaucaia@pc.ce.gov.br;18º DISTRITO POLICIAL
2ª DELEGACIA DE POLÍCIA CIVIL DE MARACANAÚ;2dpmaracanau@pc.ce.gov.br;29º DISTRITO POLICIAL
2ª DELEGACIA DE POLÍCIA CIVIL DE PACATUBA;4dpmaracanau@pc.ce.gov.br;24º DISTRITO POLICIAL
3ª DELEGACIA DE POLÍCIA CIVIL DE CAUCAIA;5dpmaracanau@pc.ce.gov.br;23º DISTRITO POLICIAL
3ª DELEGACIA DE POLÍCIA CIVIL DE MARACANAÚ;3dpmaracanau@pc.ce.gov.br;20º DISTRITO POLICIAL
4ª DELEGACIA DE POLÍCIA CIVIL DE CAUCAIA;4dpcaucaia@pc.ce.gov.br;22º DISTRITO POLICIAL
4ª DELEGACIA DE POLÍCIA CIVIL DE MARACANAÚ;4dpmaracanau@pc.ce.gov.br;21º DISTRITO POLICIAL
5ª DELEGACIA DE POLÍCIA CIVIL DE CAUCAIA;5dpcaucaia@pc.ce.gov.br;31º DISTRITO POLICIAL
5ª DELEGACIA DE POLÍCIA CIVIL DE MARACANAÚ;5dpmaracanau@pc.ce.gov.br;28º DISTRITO POLICIAL
6ª DELEGACIA DE POLÍCIA CIVIL DE MARACANAÚ;6dpmaracanau@pc.ce.gov.br;14º DISTRITO POLICIAL
DELEGACIA DE POLÍCIA CIVIL DE A?UIRAZ;1dpaquiraz@pc.ce.gov.br;DELEGACIA METROPOLITANA DE A?UIRAZ
DELEGACIA DE POLÍCIA CIVIL DE CASCAVEL;1dpcascavel@pc.ce.gov.br;DELEGACIA METROPOLITANA DE CASCAVEL
DELEGACIA DE POLÍCIA CIVIL DE CHOROZINHO;1dpchorozinho@pc.ce.gov.br;DELEGACIA METROPOLITANA DE CHOROZINHO
DELEGACIA DE POLÍCIA CIVIL DE EUSÉBIO;1dpeusebio@pc.ce.gov.br;DELEGACIA METROPOLITANA DE EUSÉBIO
DELEGACIA DE POLÍCIA CIVIL DE GUAIÚBA;1dpguaiuba@pc.ce.gov.br;DELEGACIA METROPOLITANA DE GUAIÚBA
DELEGACIA DE POLÍCIA CIVIL DE HORIZONTE;1dphorizonte@pc.ce.gov.br;DELEGACIA METROPOLITANA DE HORIZONTE
DELEGACIA DE POLÍCIA CIVIL DE ITAITINGA;1dpitaitinga@pc.ce.gov.br;DELEGACIA METROPOLITANA DE ITAITINGA
DELEGACIA DE POLÍCIA CIVIL DE MARANGUAPE;1dpmaranguape@pc.ce.gov.br;DELEGACIA METROPOLITANA DE MARANGUAPE
DELEGACIA DE POLÍCIA CIVIL DE PACAJUS;1dppacajus@pc.ce.gov.br;DELEGACIA METROPOLITANA DE PACAJUS
DELEGACIA DE POLÍCIA CIVIL DE PARACURU;1dpparacuru@pc.ce.gov.br;DELEGACIA METROPOLITANA DE PARACURU
DELEGACIA DE POLÍCIA CIVIL DE PARAIPABA;1dpparaipaba@pc.ce.gov.br;DELEGACIA METROPOLITANA DE PARAIPABA
DELEGACIA DE POLÍCIA CIVIL DE PINDORETAMA;1dppindoretama@pc.ce.gov.br;DELEGACIA METROPOLITANA DE PINDORETAMA
DELEGACIA DE POLÍCIA CIVIL DE SÃO GONÇALO DO AMARANTE;1dpsaogoncalo@pc.ce.gov.br;DELEGACIA METROPOLITANA DE SÃO GONÇALO DO AMARANTE
DELEGACIA DE POLÍCIA CIVIL DE TRAIRI;1dptrairi@pc.ce.gov.br;DELEGACIA METROPOLITANA DE TRAIRI
1ª DELEGACIA DE POLÍCIA CIVIL DE SOBRAL;1dpsobral@pc.ce.gov.br;DELEGACIA REGIONAL DE SOBRAL
2ª DELEGACIA DE POLÍCIA CIVIL DE SOBRAL;2dpsobral@pc.ce.gov.br;DELEGACIA MUNICIPAL DE SOBRAL
DELEGACIA DE POLÍCIA CIVIL DE ACARAÚ;1dpsacarau@pc.ce.gov.br;DELEGACIA REGIONAL DE ACARAÚ
DELEGACIA DE POLÍCIA CIVIL DE AMONTADA;1dpamontada@pc.ce.gov.br;DELEGACIA MUNICIPAL DE AMONTADA
DELEGACIA DE POLÍCIA CIVIL DE ARACOIABA;1dparacoiaba@pc.ce.gov.br;DELEGACIA MUNICIPAL DE ARACOIABA
DELEGACIA DE POLÍCIA CIVIL DE BARREIRA;1dpbarreira@pc.ce.gov.br;DELEGACIA MUNICIPAL DE BARREIRA
DELEGACIA DE POLÍCIA CIVIL DE BATURITÉ;1dpbaturite@pc.ce.gov.br;DELEGACIA REGIONAL DE BATURITÉ
DELEGACIA DE POLÍCIA CIVIL DE BELA CRUZ;1dpbelacruz@pc.ce.gov.br;DELEGACIA MUNICIPAL DE BELA CRUZ
DELEGACIA DE POLÍCIA CIVIL DE BOA VIAGEM;1dpboaviagem@pc.ce.gov.br;DELEGACIA MUNICIPAL DE BOA VIAGEM
DELEGACIA DE POLÍCIA CIVIL DE CAMOCIM;1dpcamocim@pc.ce.gov.br;DELEGACIA REGIONAL DE CAMOCIM
DELEGACIA DE POLÍCIA CIVIL DE CANINDÉ;1dpcaninde@pc.ce.gov.br;DELEGACIA REGIONAL DE CANINDÉ
DELEGACIA DE POLÍCIA CIVIL DE CHAVAL;1dpchaval@pc.ce.gov.br;DELEGACIA MUNICIPAL DE CHAVAL
DELEGACIA DE POLÍCIA CIVIL DE COREAÚ;1dpcoreau@pc.ce.gov.br;DELEGACIA MUNICIPAL DE COREAÚ
DELEGACIA DE POLÍCIA CIVIL DE CRATEÚS;1dpcrateus@pc.ce.gov.br;DELEGACIA REGIONAL DE CRATEÚS
DELEGACIA DE POLÍCIA CIVIL DE CRUZ;1dpcruz@pc.ce.gov.br;DELEGACIA MUNICIPAL DE CRUZ
DELEGACIA DE POLÍCIA CIVIL DE FOR?UILHA;;DELEGACIA MUNICIPAL DE FOR?UILHA
DELEGACIA DE POLÍCIA CIVIL DE GRANJA;1dpgranja@pc.ce.gov.br;DELEGACIA MUNICIPAL DE GRANJA
DELEGACIA DE POLÍCIA CIVIL DE GUARACIABA DO NORTE;1dpguaraciaba@pc.ce.gov.br;DELEGACIA MUNICIPAL DE GUARACIABA DO NORTE
DELEGACIA DE POLÍCIA CIVIL DE GUARAMIRANGA;1dpguaramiranga@pc.ce.gov.br;DELEGACIA MUNICIPAL DE GUARAMIRANGA
DELEGACIA DE POLÍCIA CIVIL DE INDEPENDÊNCIA;1dpindependencia@pc.ce.gov.br;DELEGACIA MUNICIPAL DE INDEPENDÊNCIA
DELEGACIA DE POLÍCIA CIVIL DE IPU;1dpipu@pc.ce.gov.br;DELEGACIA MUNICIPAL DE IPÚ
DELEGACIA DE POLÍCIA CIVIL DE IPUEIRAS;1dpipueiras@pc.ce.gov.br;DELEGACIA MUNICIPAL DE IPUEIRAS
DELEGACIA DE POLÍCIA CIVIL DE ITAPAJÉ;1dpitapaje@pc.ce.gov.br;DELEGACIA MUNICIPAL DE ITAPAJÉ
DELEGACIA DE POLÍCIA CIVIL DE ITAPIPOCA;1dpitapipoca@pc.ce.gov.br;DELEGACIA REGIONAL DE ITAPIPOCA
DELEGACIA DE POLÍCIA CIVIL DE ITAREMA;1dpitarema@pc.ce.gov.br;DELEGACIA MUNICIPAL DE ITAREMA
DELEGACIA DE POLÍCIA CIVIL DE JIJOCA DE JERICOACOARA;1dpjijoca@pc.ce.gov.br;DELEGACIA MUNICIPAL DE JIJOCA DE JERICOACOARA
DELEGACIA DE POLÍCIA CIVIL DE MARCO;1dpmarco@pc.ce.gov.br;DELEGACIA MUNICIPAL DE MARCO
DELEGACIA DE POLÍCIA CIVIL DE MASSAPÊ;1dpmassape@pc.ce.gov.br;DELEGACIA MUNICIPAL DE MASSAPÊ
DELEGACIA DE POLÍCIA CIVIL DE MONSENHOR TABOSA;1dpmtabosa@pc.ce.gov.br;DELEGACIA MUNICIPAL DE MONSENHOR TABOSA
DELEGACIA DE POLÍCIA CIVIL DE NOVA RUSSAS;1dpnovarussas@pc.ce.gov.br;DELEGACIA MUNICIPAL DE NOVO ORIENTE
DELEGACIA DE POLÍCIA CIVIL DE NOVO ORIENTE;1dpnovooriente@pc.ce.gov.br;DELEGACIA MUNICIPAL DE NOVA RUSSAS
DELEGACIA DE POLÍCIA CIVIL DE OCARA;1dpocara@pc.ce.gov.br;DELEGACIA MUNICIPAL DE OCARA
DELEGACIA DE POLÍCIA CIVIL DE PACUJÁ;1dppacuja@pc.ce.gov.br;DELEGACIA MUNICIPAL DE PACUJÁ
DELEGACIA DE POLÍCIA CIVIL DE PENTECOSTE;1dppentecoste@pc.ce.gov.br;DELEGACIA MUNICIPAL DE PENTECOSTE
DELEGACIA DE POLÍCIA CIVIL DE REDENÇÃO;1dpredencao@pc.ce.gov.br;DELEGACIA MUNICIPAL DE REDENÇÃO
DELEGACIA DE POLÍCIA CIVIL DE SANTA ?UITÉRIA;1dpsquiteria@pc.ce.gov.br;DELEGACIA MUNICIPAL DE SANTA ?UITÉRIA
DELEGACIA DE POLÍCIA CIVIL DE SANTANA DO ACARAÚ;1dpsacarau@pc.ce.gov.br;DELEGACIA MUNICIPAL DE SANTANA DO ACARAÚ
DELEGACIA DE POLÍCIA CIVIL DE SÃO BENEDITO;1dpsaobenedito@pc.ce.gov.br;DELEGACIA MUNICIPAL DE SÃO BENEDITO
DELEGACIA DE POLÍCIA CIVIL DE TAMBORIL;1dptamboril@pc.ce.gov.br;DELEGACIA MUNICIPAL DE TAMBORIL
DELEGACIA DE POLÍCIA CIVIL DE TIANGUÁ;1dptiangua@pc.ce.gov.br;DELEGACIA REGIONAL DE TIANGUÁ
DELEGACIA DE POLÍCIA CIVIL DE UBAJARA;1dpubajara@pc.ce.gov.br;DELEGACIA MUNICIPAL DE UBAJARA
DELEGACIA DE POLÍCIA CIVIL DE URUBURETAMA;1dpuruburetama@pc.ce.gov.br;DELEGACIA MUNICIPAL DE URUBURETAMA
DELEGACIA DE POLÍCIA CIVIL DE URUOCA;1dpuruoca@pc.ce.gov.br;DELEGACIA MUNICIPAL DE URUOCA
DELEGACIA DE POLÍCIA CIVIL DE VARJOTA;1dpvarjota@pc.ce.gov.br;DELEGACIA MUNICIPAL DE VARJOTA
DELEGACIA DE POLÍCIA CIVIL DE VIÇOSA DO CEARÁ;1dpvicosa@pc.ce.gov.br;DELEGACIA MUNICIPAL DE VIÇOSA DO CEARÁ
1ª DELEGACIA DE POLÍCIA CIVIL DE JUAZEIRO DO NORTE;1dpjuazeiro@pc.ce.gov.br;DELEGACIA REGIONAL DE JUAZEIRO DO NORTE
2ª DELEGACIA DE POLÍCIA CIVIL DE JUAZEIRO DO NORTE;2dpjuazeirodonorte@pc.ce.gov.br;
DELEGACIA DE POLÍCIA CIVIL DE ACOPIARA;1dpacopiara@pc.ce.gov.br;DELEGACIA MUNICIPAL DE ACOPIARA
DELEGACIA DE POLÍCIA CIVIL DE ALTO SANTO;1dpaltosanto@pc.ce.gov.br;DELEGACIA MUNICIPAL DE ALTO SANTO
DELEGACIA DE POLÍCIA CIVIL DE ARACATI;1dparacati@pc.ce.gov.br;DELEGACIA REGIONAL DE ARACATI
DELEGACIA DE POLÍCIA CIVIL DE ARARIPE;1dpararipe@pc.ce.gov.br;DELEGACIA MUNICIPAL DE ARARIPE
DELEGACIA DE POLÍCIA CIVIL DE ASSARÉ;1dpassare@pc.ce.gov.br;DELEGACIA MUNICIPAL DE ASSARÉ
DELEGACIA DE POLÍCIA CIVIL DE AURORA;1dpaurora@pc.ce.gov.br;DELEGACIA MUNICIPAL DE AURORA
DELEGACIA DE POLÍCIA CIVIL DE BANABUIÚ;1dpbanabuiu@pc.ce.gov.br;DELEGACIA MUNICIPAL DE BANABUIÚ
DELEGACIA DE POLÍCIA CIVIL DE BARBALHA;1dpbarbalha@pc.ce.gov.br;DELEGACIA MUNICIPAL DE BARBALHA
DELEGACIA DE POLÍCIA CIVIL DE BARRO;1dpbarro@pc.ce.gov.br;
DELEGACIA DE POLÍCIA CIVIL DE BEBERIBE;1dpbeberibe@pc.ce.gov.br;DELEGACIA MUNICIPAL DE BEBERIBE
DELEGACIA DE POLÍCIA CIVIL DE BREJO SANTO;1dpbrejosanto@pc.ce.gov.br;DELEGACIA REGIONAL DE BREJO SANTO
DELEGACIA DE POLÍCIA CIVIL DE CAMPOS SALES;1dpcampossales@pc.ce.gov.br;DELEGACIA MUNICIPAL DE CAMPOS SALES
DELEGACIA DE POLÍCIA CIVIL DE CARIRIAÇU;1dpcaririacu@pc.ce.gov.br;DELEGACIA MUNICIPAL DE CARIRIAÇU
DELEGACIA DE POLÍCIA CIVIL DE CEDRO;1dpcedro@pc.ce.gov.br;DELEGACIA MUNICIPAL DE CEDRO
DELEGACIA DE POLÍCIA CIVIL DE CRATO;1dpcrato@pc.ce.gov.br;DELEGACIA REGIONAL DE CRATO
DELEGACIA DE POLÍCIA CIVIL DE FARIAS BRITO;1dpfariasbrito@pc.ce.gov.br;DELEGACIA MUNICIPAL DE FARIAS BRITO
DELEGACIA DE POLÍCIA CIVIL DE ICAPUÍ;1dpicapui@pc.ce.gov.br;DELEGACIA MUNICIPAL DE ICAPUÍ
DELEGACIA DE POLÍCIA CIVIL DE ICÓ;1dpico@pc.ce.gov.br;DELEGACIA REGIONAL DE ICÓ
DELEGACIA DE POLÍCIA CIVIL DE IGUATU;1dpiguatu@pc.ce.gov.br;DELEGACIA REGIONAL DE IGUATU
DELEGACIA DE POLÍCIA CIVIL DE IPAUMIRIM;1dpipaumirim@pc.ce.gov.br;DELEGACIA MUNICIPAL DE IPAUMIRIM
DELEGACIA DE POLÍCIA CIVIL DE IRACEMA;1dpiracema@pc.ce.gov.br;DELEGACIA MUNICIPAL DE IRACEMA
DELEGACIA DE POLÍCIA CIVIL DE JAGUARETAMA;1dpjaguaretama@pc.ce.gov.br;DELEGACIA MUNICIPAL DE JAGUARETAMA
DELEGACIA DE POLÍCIA CIVIL DE JAGUARIBE;1dpjaguaribe@pc.ce.gov.br;DELEGACIA REGIONAL DE JAGUARIBE
DELEGACIA DE POLÍCIA CIVIL DE JAGUARUANA;1dpjaguaruana@pc.ce.gov.br;DELEGACIA MUNICIPAL DE JAGUARUANA
DELEGACIA DE POLÍCIA CIVIL DE JARDIM;1dpjardim@pc.ce.gov.br;DELEGACIA MUNICIPAL DE JARDIM
DELEGACIA DE POLÍCIA CIVIL DE JUCÁS;1dpjucas@pc.ce.gov.br;DELEGACIA MUNICIPAL DE JUCÁS
DELEGACIA DE POLÍCIA CIVIL DE LAVRAS DA MANGABEIRA;1dplavras@pc.ce.gov.br;DELEGACIA MUNICIPAL DE LAVRAS DA MANGABEIRA
DELEGACIA DE POLÍCIA CIVIL DE LIMOEIRO DO NORTE;1dplimoeiro@pc.ce.gov.br;DELEGACIA MUNICIPAL DE LIMOEIRO DO NORTE
DELEGACIA DE POLÍCIA CIVIL DE MAURITI;1dpmauriti@pc.ce.gov.br;DELEGACIA MUNICIPAL DE MAURITI
DELEGACIA DE POLÍCIA CIVIL DE MILAGRES;1dpmilagres@pc.ce.gov.br;DELEGACIA MUNICIPAL DE MILAGRES
DELEGACIA DE POLÍCIA CIVIL DE MISSÃO VELHA;1dpmissao@pc.ce.gov.br;DELEGACIA MUNICIPAL DE MISSÃO VELHA
DELEGACIA DE POLÍCIA CIVIL DE MOMBAÇA;1dpmombaca@pc.ce.gov.br;DELEGACIA MUNICIPAL DE MOMBAÇA
DELEGACIA DE POLÍCIA CIVIL DE MORADA NOVA;1dpmoradanova@pc.ce.gov.br;DELEGACIA MUNICIPAL DE MORADA NOVA
